case_id,case_description,case_budget,case_lat,case_lon,preferred_gender
1,"A-Level Physics student, SEN-friendly",46,22.33323722127248,114.20833079718562,Any
2,IB Math tutoring required,85,22.319536282515784,114.24668971075805,Female
3,"English tutoring, SEN-friendly",68,22.318454340128994,114.20113464205058,Any
4,Medical interview prep,35,22.32625736756808,114.2200217116101,Any
5,Aviation studies tutoring,39,22.321888140044145,114.20314373801364,Any
6,"English tutoring, SEN-friendly",94,22.283361021645497,114.17647331463121,Male
7,IB Math tutoring required,101,22.294603907129233,114.16169031154423,Male
8,"GCSE Chemistry tutoring, online",123,22.29000519824084,114.23706538906653,Male
9,"GCSE Chemistry tutoring, online",122,22.32017756078186,114.20095143825502,Female
10,Medical interview prep,41,22.329022822272993,114.22755326530888,Male
11,Math Olympiad training,47,22.34044330435845,114.16947135304471,Male
12,"A-Level Physics student, SEN-friendly",38,22.339690842294207,114.22923409163502,Any
13,"English tutoring, SEN-friendly",101,22.329327727393093,114.1934101992272,Female
14,IB Math tutoring required,135,22.281694186104733,114.19525098436807,Female
15,Aviation studies tutoring,91,22.286338251700876,114.16678068428828,Male
16,Math Olympiad training,134,22.30092292114224,114.18187434426727,Male
17,Math Olympiad training,102,22.33606237041463,114.21534010524178,Male
18,IB Math tutoring required,77,22.33544799298509,114.16864260399471,Any
19,Math Olympiad training,32,22.3309436158453,114.21964224055802,Female
20,"A-Level Physics student, SEN-friendly",101,22.320717380618674,114.16412568043964,Female
21,"English tutoring, SEN-friendly",62,22.335521995204864,114.16388166707519,Female
22,"A-Level Physics student, SEN-friendly",69,22.30273794516007,114.20008690913582,Female
23,Medical interview prep,114,22.31623833590302,114.1626499599299,Male
24,"A-Level Physics student, SEN-friendly",47,22.346806436937246,114.15837811290046,Any
25,"GCSE Chemistry tutoring, online",124,22.29440370492937,114.19346050055908,Male
26,"GCSE Chemistry tutoring, online",116,22.309375459902835,114.18042698652638,Any
27,IB Math tutoring required,44,22.296656950835217,114.16674702250033,Female
28,Math Olympiad training,41,22.338076405400418,114.20088848029764,Any
29,"A-Level Physics student, SEN-friendly",105,22.28176336945823,114.1519372542905,Any
30,Math Olympiad training,38,22.299357813291113,114.2065201646605,Male
31,"GCSE Chemistry tutoring, online",69,22.328380531901207,114.21115476281804,Male
32,Math Olympiad training,148,22.306745573161496,114.19592316119211,Male
33,"GCSE Chemistry tutoring, online",80,22.33601318118683,114.22183655516714,Female
34,IB Math tutoring required,149,22.283478604967357,114.19504464028365,Female
35,"A-Level Physics student, SEN-friendly",106,22.312732314813154,114.2315379285983,Female
36,"GCSE Chemistry tutoring, online",118,22.334948549116504,114.21796421747247,Male
37,IB Math tutoring required,57,22.285595731011167,114.17362976647011,Male
38,"English tutoring, SEN-friendly",53,22.32630454754015,114.16211573705642,Any
39,"English tutoring, SEN-friendly",127,22.348640139282626,114.2224477433298,Male
40,"English tutoring, SEN-friendly",43,22.280314785346516,114.2099805340604,Male
